# V, V_err
-5.586412578555697284e-01 1.998871716237366879e-03
-5.586412578555697284e-01 1.998871716237366879e-03
-5.586412578555697284e-01 1.998871716237366879e-03
-5.585393528285266251e-01 1.913943529156779790e-03
-5.587431628826127206e-01 2.075337845767052762e-03
-5.584374478014836329e-01 1.819368642841582510e-03
-5.589469729366988160e-01 2.206308554815440259e-03
-5.587941153961343277e-01 2.110689038257460796e-03
-5.587941153961343277e-01 2.110689038257460796e-03
-5.588450679096558238e-01 2.144247406690528643e-03
-5.592526880178280146e-01 2.356519322744944113e-03
-5.592526880178280146e-01 2.356519322744944113e-03
-5.592017355043065185e-01 2.334937500606389278e-03
-5.589979254502204231e-01 2.234951724786395175e-03
-5.584884003150051290e-01 1.867950000485111683e-03
-5.587941153961343277e-01 2.110689038257460362e-03
-5.589979254502204231e-01 2.234951724786395609e-03
-5.586412578555697284e-01 1.998871716237366879e-03
-5.586412578555697284e-01 1.998871716237366879e-03
-5.586412578555697284e-01 1.998871716237366879e-03
-5.586922103690912245e-01 2.038100540860910033e-03
-5.591507829907849114e-01 2.312031709933367717e-03
-5.586922103690912245e-01 2.038100540860909599e-03
-5.588450679096558238e-01 2.144247406690528643e-03
-5.586412578555697284e-01 1.998871716237366879e-03
-5.587941153961343277e-01 2.110689038257460796e-03
-5.587431628826127206e-01 2.075337845767052762e-03
-5.587431628826127206e-01 2.075337845767052762e-03
-5.581826852338760414e-01 1.528575405645682308e-03
-5.579788751797899460e-01 1.210055151497971965e-03
-5.580298276933114421e-01 1.300038180531165859e-03
-5.584374478014836329e-01 1.819368642841582510e-03
-5.582336377473975375e-01 1.594251957139641938e-03
-5.586922103690912245e-01 2.038100540860909599e-03
-5.584884003150051290e-01 1.867950000485111466e-03
-5.592017355043065185e-01 2.334937500606389712e-03
-5.589469729366988160e-01 2.206308554815440259e-03
-5.594055455583926140e-01 2.413665257457460467e-03
-5.588450679096558238e-01 2.144247406690528643e-03
-5.587941153961343277e-01 2.110689038257460796e-03
-5.588960204231773199e-01 2.176095896027927488e-03
-5.590488779637419192e-01 2.262085026680307753e-03
-5.588450679096558238e-01 2.144247406690528643e-03
-5.582845902609190336e-01 1.655760706646335458e-03
