# V, V_err
-5.577241126121823545e-01 1.972724459372690847e-03
-5.573674450175316597e-01 1.581991442243340512e-03
-5.575203025580962590e-01 1.830748698402322183e-03
-5.577241126121823545e-01 1.972724459372691280e-03
-5.577750651257038506e-01 1.903743011356495230e-03
-5.576222075851392512e-01 1.689135382064709543e-03
-5.574693500445746519e-01 2.269532711853993173e-03
-5.575203025580962590e-01 2.095257561820546358e-03
-5.570617299364024610e-01 2.073460561035716642e-03
-5.572655399904885565e-01 1.996922547839858481e-03
-5.572655399904885565e-01 1.717334041008576574e-03
-5.572145874769670604e-01 1.626494896459873812e-03
-5.570617299364024610e-01 1.944224002356301608e-03
-5.574693500445746519e-01 2.152102925824680296e-03
-5.570107774228809649e-01 1.993669699047569827e-03
-5.573164925040101636e-01 1.802163824777136634e-03
-5.576222075851392512e-01 2.100207970520887816e-03
-5.573674450175316597e-01 2.015041464543035083e-03
-5.573164925040101636e-01 1.802163824777136634e-03
-5.572655399904885565e-01 2.241910594947001123e-03
-5.571636349634455643e-01 1.689903694764010623e-03
-5.575712550716177551e-01 2.159328809364864481e-03
-5.573674450175316597e-01 2.370250468689820422e-03
-5.573164925040101636e-01 2.070327970394966483e-03
-5.572655399904885565e-01 2.241910594947001557e-03
-5.570617299364024610e-01 2.195101461209194183e-03
-5.574183975310531558e-01 2.085321488936323509e-03
-5.570107774228809649e-01 2.460009304094029885e-03
-5.570617299364024610e-01 2.195101461209194617e-03
-5.570617299364024610e-01 2.073460561035716208e-03
-5.576222075851392512e-01 2.220384031259380660e-03
-5.574693500445746519e-01 2.269532711853993173e-03
-5.573674450175316597e-01 2.140005567903955578e-03
-5.571126824499240682e-01 2.266671113550560064e-03
-5.573674450175316597e-01 2.140005567903955578e-03
-5.572145874769670604e-01 2.705285787065710330e-03
-5.572145874769670604e-01 2.050166049057146767e-03
-5.570617299364024610e-01 2.310346760084929472e-03
-5.574183975310531558e-01 2.430280002945376088e-03
-5.570617299364024610e-01 2.195101461209194183e-03
-5.571636349634455643e-01 2.220968573597073732e-03
-5.571636349634455643e-01 2.334937500606389712e-03
-5.571636349634455643e-01 2.100825951399503625e-03
-5.571126824499240682e-01 2.024681328836751629e-03
-5.569598249093594688e-01 2.164132661374151660e-03
-5.575203025580962590e-01 2.438811069120105837e-03
-5.571126824499240682e-01 2.378451106042906837e-03
-5.574693500445746519e-01 2.027884433716812661e-03
-5.572655399904885565e-01 2.462646253403033992e-03
-5.573164925040101636e-01 1.940882834734634172e-03
-5.572655399904885565e-01 2.354866204812453186e-03
-5.573164925040101636e-01 2.070327970394966483e-03
-5.575203025580962590e-01 2.438811069120105837e-03
-5.570617299364024610e-01 1.944224002356301391e-03
-5.570617299364024610e-01 1.944224002356301608e-03
-5.571126824499240682e-01 2.266671113550560064e-03
-5.571636349634455643e-01 2.547625676076137758e-03
-5.573674450175316597e-01 2.370250468689819989e-03
-5.573164925040101636e-01 2.417426955565838559e-03
-5.574183975310531558e-01 2.320997450641423474e-03
-5.574183975310531558e-01 2.206308554815440259e-03
-5.575712550716177551e-01 2.035551320925338414e-03
-5.575712550716177551e-01 2.159328809364864047e-03
-5.573674450175316597e-01 2.580029212623123711e-03
-5.574693500445746519e-01 2.269532711853993173e-03
-5.570617299364024610e-01 2.195101461209194183e-03
-5.573164925040101636e-01 2.623436017737177869e-03
-5.570107774228809649e-01 1.993669699047569393e-03
-5.570617299364024610e-01 2.310346760084929472e-03
-5.571126824499240682e-01 2.024681328836751195e-03
-5.573164925040101636e-01 2.307535776247927363e-03
-5.571636349634455643e-01 2.334937500606389712e-03
-5.571126824499240682e-01 2.149084970440290517e-03
-5.571636349634455643e-01 1.973382363162658019e-03
-5.576731600986607473e-01 2.161732069774079286e-03
-5.573674450175316597e-01 2.140005567903955578e-03
-5.574693500445746519e-01 1.895543075131442918e-03
-5.575712550716177551e-01 2.035551320925338414e-03
-5.573674450175316597e-01 2.258064560080628308e-03
-5.575203025580962590e-01 2.095257561820546358e-03
-5.574183975310531558e-01 2.085321488936323509e-03
-5.570617299364024610e-01 2.310346760084929906e-03
-5.572145874769670604e-01 2.050166049057146767e-03
-5.569088723958379727e-01 2.206308554815440259e-03
-5.572655399904885565e-01 1.862382327890554435e-03
-5.573164925040101636e-01 2.417426955565838559e-03
-5.571126824499240682e-01 2.024681328836751195e-03
-5.571126824499240682e-01 1.892115946898594026e-03
-5.571636349634455643e-01 2.220968573597074166e-03
-5.574183975310531558e-01 2.430280002945376088e-03
-5.577241126121823545e-01 2.100207970520888250e-03
-5.575203025580962590e-01 2.095257561820546358e-03
-5.572655399904885565e-01 1.996922547839858481e-03
-5.574183975310531558e-01 1.819368642841582727e-03
-5.576222075851392512e-01 2.443065430956781452e-03
-5.573164925040101636e-01 2.070327970394966483e-03
-5.569598249093594688e-01 1.909190069731661263e-03
-5.571126824499240682e-01 2.024681328836751195e-03
-5.573674450175316597e-01 2.140005567903955578e-03
-5.572655399904885565e-01 2.122953458958397235e-03
-5.571126824499240682e-01 2.266671113550560064e-03
-5.569598249093594688e-01 2.040646576258166745e-03
-5.572145874769670604e-01 2.506014312815343491e-03
-5.570617299364024610e-01 2.073460561035716208e-03
-5.574183975310531558e-01 1.819368642841582727e-03
-5.573674450175316597e-01 1.738369537861083388e-03
-5.571636349634455643e-01 2.220968573597074166e-03
-5.574183975310531558e-01 2.206308554815440259e-03
-5.575712550716177551e-01 2.035551320925338848e-03
