# V, V_err
-5.596093556124785984e-01 2.473165935007842460e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.593036405313495107e-01 2.376813242123629875e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.587941153961343277e-01 2.110689038257460362e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.588960204231773199e-01 2.176095896027927055e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.594055455583926140e-01 2.413665257457460846e-04
-5.591507829907849114e-01 2.312031709933367609e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.593036405313495107e-01 2.376813242123630417e-04
-5.593036405313495107e-01 2.376813242123630688e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.588960204231773199e-01 2.176095896027927055e-04
-5.586922103690912245e-01 2.038100540860910087e-04
-5.586922103690912245e-01 2.038100540860909545e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.588960204231773199e-01 2.176095896027927868e-04
-5.587941153961343277e-01 2.110689038257460362e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.589979254502204231e-01 2.234951724786395663e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.593545930448710068e-01 2.395851986273333893e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.586922103690912245e-01 2.038100540860910087e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.593545930448710068e-01 2.395851986273333893e-04
-5.589469729366988160e-01 2.206308554815439825e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.586412578555697284e-01 1.998871716237366988e-04
-5.583864952879621368e-01 1.767986141215420687e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.586922103690912245e-01 2.038100540860909545e-04
-5.588450679096558238e-01 2.144247406690528155e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.586922103690912245e-01 2.038100540860910087e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.588960204231773199e-01 2.176095896027927055e-04
-5.588960204231773199e-01 2.176095896027927868e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.582845902609190336e-01 1.655760706646335566e-04
-5.592017355043065185e-01 2.334937500606389603e-04
-5.584374478014836329e-01 1.819368642841582672e-04
-5.585393528285266251e-01 1.913943529156780224e-04
-5.589469729366988160e-01 2.206308554815439825e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.594564980719141101e-01 2.430280002945377010e-04
-5.592017355043065185e-01 2.334937500606389603e-04
-5.594055455583926140e-01 2.413665257457460846e-04
-5.592017355043065185e-01 2.334937500606389603e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.585393528285266251e-01 1.913943529156779952e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.589979254502204231e-01 2.234951724786395663e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.584884003150051290e-01 1.867950000485111791e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.589469729366988160e-01 2.206308554815439825e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.592017355043065185e-01 2.334937500606389603e-04
-5.588450679096558238e-01 2.144247406690528155e-04
-5.586922103690912245e-01 2.038100540860910087e-04
-5.586412578555697284e-01 1.998871716237366988e-04
-5.589979254502204231e-01 2.234951724786395663e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.584884003150051290e-01 1.867950000485111791e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.592526880178280146e-01 2.356519322744944167e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.593545930448710068e-01 2.395851986273333351e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.586922103690912245e-01 2.038100540860909545e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.586412578555697284e-01 1.998871716237366988e-04
-5.591507829907849114e-01 2.312031709933367609e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.591507829907849114e-01 2.312031709933367609e-04
-5.591507829907849114e-01 2.312031709933367609e-04
-5.594055455583926140e-01 2.413665257457460846e-04
-5.588960204231773199e-01 2.176095896027927055e-04
-5.584884003150051290e-01 1.867950000485111520e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.588960204231773199e-01 2.176095896027927055e-04
-5.586412578555697284e-01 1.998871716237366988e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.597112606395217016e-01 2.496153184799823101e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.592526880178280146e-01 2.356519322744944167e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.585903053420482323e-01 1.957531645726723107e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.587941153961343277e-01 2.230300415426674020e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.585903053420482323e-01 1.957531645726723107e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.594055455583926140e-01 2.413665257457460033e-04
-5.592526880178280146e-01 2.356519322744944167e-04
-5.586412578555697284e-01 1.998871716237366988e-04
-5.586412578555697284e-01 1.998871716237366988e-04
-5.585393528285266251e-01 1.913943529156780224e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.585903053420482323e-01 1.957531645726723107e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.588960204231773199e-01 2.176095896027927597e-04
-5.594055455583926140e-01 2.413665257457460575e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.595074505854356062e-01 2.445720649033091562e-04
-5.588450679096558238e-01 2.144247406690528697e-04
-5.592526880178280146e-01 2.356519322744944167e-04
-5.587941153961343277e-01 2.110689038257460362e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.585903053420482323e-01 1.957531645726723649e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.591507829907849114e-01 2.312031709933367609e-04
-5.589469729366988160e-01 2.206308554815440367e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.590998304772634153e-01 2.287762183110056185e-04
-5.590998304772634153e-01 2.287762183110056728e-04
-5.592017355043065185e-01 2.334937500606389603e-04
-5.586922103690912245e-01 2.038100540860909545e-04
-5.586412578555697284e-01 1.998871716237366446e-04
-5.589979254502204231e-01 2.234951724786395121e-04
-5.587941153961343277e-01 2.110689038257460904e-04
-5.587431628826127206e-01 2.075337845767052871e-04
-5.590488779637419192e-01 2.262085026680307753e-04
-5.589469729366988160e-01 2.206308554815440367e-04
