# V, V_err
-5.562974422335796865e-01 2.481026425009542208e-03
-5.565012522876657819e-01 2.374080957921072960e-03
-5.562974422335796865e-01 2.583548692869523222e-03
-5.568069673687948695e-01 2.284923415193097253e-03
-5.566031573147087741e-01 2.312031709933368151e-03
-5.563483947471011826e-01 2.559825070707422070e-03
-5.564502997741442858e-01 2.176095896027927055e-03
-5.563993472606226787e-01 2.320997450641423474e-03
-5.565012522876657819e-01 2.374080957921072960e-03
-5.564502997741442858e-01 2.508602903850301429e-03
-5.565012522876657819e-01 2.374080957921072960e-03
-5.563483947471011826e-01 2.348242095474373584e-03
-5.562974422335796865e-01 2.481026425009542208e-03
-5.561445846930150871e-01 2.334937500606389712e-03
-5.565522048011872780e-01 2.230300415426674128e-03
-5.561955372065365832e-01 2.526648784734791299e-03
-5.562464897200581904e-01 2.398559470453188753e-03
-5.558898221254074956e-01 2.635284490596899801e-03
-5.562974422335796865e-01 2.374080957921072526e-03
-5.564502997741442858e-01 2.402885099702849279e-03
-5.565522048011872780e-01 2.452081441697395725e-03
-5.565012522876657819e-01 2.262085026680307753e-03
-5.563993472606226787e-01 2.534855542146015502e-03
-5.562464897200581904e-01 2.398559470453189187e-03
-5.566541098282303812e-01 2.161732069774079286e-03
-5.565522048011872780e-01 2.230300415426674128e-03
-5.562974422335796865e-01 2.262085026680307753e-03
-5.563483947471011826e-01 2.348242095474373584e-03
-5.564502997741442858e-01 2.292296899518424247e-03
-5.562974422335796865e-01 2.583548692869523655e-03
-5.563993472606226787e-01 2.430280002945376522e-03
-5.564502997741442858e-01 2.508602903850300995e-03
-5.566031573147087741e-01 2.312031709933368585e-03
-5.567560148552733734e-01 1.957531645726723595e-03
-5.563483947471011826e-01 2.348242095474373584e-03
-5.567560148552733734e-01 2.430814071736120841e-03
-5.564502997741442858e-01 2.292296899518424247e-03
-5.565522048011872780e-01 2.110689038257460796e-03
-5.567560148552733734e-01 2.430814071736121275e-03
-5.566541098282303812e-01 2.278665677172041128e-03
-5.565522048011872780e-01 2.230300415426673694e-03
-5.563483947471011826e-01 2.348242095474373150e-03
-5.561445846930150871e-01 2.334937500606389278e-03
-5.558388696118859995e-01 2.549662962028322304e-03
-5.559917271524504878e-01 2.603568741899138592e-03
-5.561955372065365832e-01 2.421718884298837068e-03
-5.565012522876657819e-01 2.144247406690528209e-03
-5.562974422335796865e-01 2.374080957921072960e-03
-5.563483947471011826e-01 2.234951724786395609e-03
-5.565012522876657819e-01 2.262085026680307753e-03
-5.563993472606226787e-01 2.534855542146015502e-03
-5.568069673687948695e-01 2.395851986273333459e-03
-5.563993472606226787e-01 2.320997450641423474e-03
-5.565522048011872780e-01 2.655403331017938077e-03
-5.564502997741442858e-01 2.292296899518424247e-03
-5.564502997741442858e-01 2.402885099702849279e-03
-5.562974422335796865e-01 2.481026425009542208e-03
-5.562974422335796865e-01 2.374080957921072526e-03
-5.560936321794935910e-01 2.567420256236728829e-03
-5.562464897200581904e-01 2.606060434250339133e-03
-5.565012522876657819e-01 2.481026425009542642e-03
