# V, V_err
1.056043895641398445e+00 2.933462365056467222e-03
1.045089105234271676e+00 3.386958870025989863e-03
1.053292459911236545e+00 3.379849636856158829e-03
1.050439119154031209e+00 3.635093156243006211e-03
1.047127205775132630e+00 3.356622273488015732e-03
1.050744834235160408e+00 3.248241719250398625e-03
1.048655781180777957e+00 2.988980585119126784e-03
1.051050549316289384e+00 3.393494779004805478e-03
1.047076253261611134e+00 3.332134666943503513e-03
1.050337214126988217e+00 2.928856670683523122e-03
1.044324817531449234e+00 2.903931217142438365e-03
1.047840540964434020e+00 2.971453434731983253e-03
1.053139602370671835e+00 3.074104955054440726e-03
1.049623878937687049e+00 3.179841008666521585e-03
1.054005795100537712e+00 3.528398100082779602e-03
1.054311510181666911e+00 3.752302370842466872e-03
1.053394364938279537e+00 3.130736550050786885e-03
1.054464367722231621e+00 3.324822320704703092e-03
1.056247705695484651e+00 3.024172255095526184e-03
1.046515775612874233e+00 3.361877577232765587e-03
1.052426267181370667e+00 2.971016552654375757e-03
1.051611026965026285e+00 3.020173437338573037e-03
1.055941990614355452e+00 2.919623485625639624e-03
1.053903890073494720e+00 3.354591369160559410e-03
1.053343412424758041e+00 3.298465970370955021e-03
1.047178158288653904e+00 3.054988811031975754e-03
1.055075797884489575e+00 3.583001618696140915e-03
1.054413415208709903e+00 3.529280937158415198e-03
1.056145800668441659e+00 3.095846377215339448e-03
1.055330560452097277e+00 3.009439375839937335e-03
1.052833887289542858e+00 3.153034415814318179e-03
1.054362462695188407e+00 2.855869065404404578e-03
1.057521518533522498e+00 2.652468642335934716e-03
1.056043895641398667e+00 3.117939970540118018e-03
1.053037697343628842e+00 2.977371227418522739e-03
1.056757230830699612e+00 3.506758390645212803e-03
1.057266755965915017e+00 3.366241732028890047e-03
1.056502468263092132e+00 3.525678309256442041e-03
1.054362462695188407e+00 3.965650854014554638e-03
1.055636275533226476e+00 3.239117449216661389e-03
1.060272954263684619e+00 3.019915544584814929e-03
1.056808183344221552e+00 3.280819645084978413e-03
1.054566272749274392e+00 3.032577863683862986e-03
1.051101501829811324e+00 2.995054450105603429e-03
1.053190554884193109e+00 3.958833241596507700e-03
1.049980546532337744e+00 3.226127108160003164e-03
1.054871987830403590e+00 3.025978793108005833e-03
1.054821035316882094e+00 2.969666180897564435e-03
1.055483417992661987e+00 3.236186634019154289e-03
1.058387711263388598e+00 3.024755957797586100e-03
1.054056747614058986e+00 3.211932647812265011e-03
1.052222457127284683e+00 3.048578771315215829e-03
1.058642473830996300e+00 3.404741353892964170e-03
1.052324362154327453e+00 2.665142806064666522e-03
1.058693426344517796e+00 2.824860838237174768e-03
1.058234853722823665e+00 3.250610633001026293e-03
1.053496269965322751e+00 3.279454344290777534e-03
1.054158652641102423e+00 3.158414757792964243e-03
1.053598174992365522e+00 3.014266466913372803e-03
1.051611026965026063e+00 3.221488533355227387e-03
1.058132948695780895e+00 3.550830913507351839e-03
1.056196753181963155e+00 3.192263416003272933e-03
1.052018647073198476e+00 2.905347885669575837e-03
1.052375314667849171e+00 3.106428122714077235e-03
1.055432465479140269e+00 3.044467045985905108e-03
1.055789133073790964e+00 3.075118218119786938e-03
1.053190554884193331e+00 3.170847418348256286e-03
1.059763429128469658e+00 3.360023702722414289e-03
1.061190099507071993e+00 3.515413273569163201e-03
1.055126750398010849e+00 3.124727023085571535e-03
1.057674376074086986e+00 2.964416185753404511e-03
1.048502923640213691e+00 3.271179145813700451e-03
1.054413415208709903e+00 3.392760261285091093e-03
1.056247705695484651e+00 2.842743883729868370e-03
1.057062945911829033e+00 3.224207257810796784e-03
