# V, V_err
-5.375469172576611276e-01 1.819368642841582727e-03
-5.378526323387902153e-01 1.749534518000650908e-03
-5.374959647441396315e-01 9.984612739199292403e-04
-5.375978697711825127e-01 1.210055151497972398e-03
-5.376488222847041198e-01 1.300038180531165859e-03
-5.374450122306180244e-01 1.339382550358642629e-03
-5.374450122306180244e-01 1.129032280040314154e-03
-5.375469172576611276e-01 1.507195675713952692e-03
-5.374450122306180244e-01 1.339382550358642629e-03
-5.375978697711825127e-01 1.408355493651717400e-03
-5.373431072035750322e-01 8.810513217821799945e-04
-5.376488222847041198e-01 1.486381847867827106e-03
-5.376997747982256159e-01 1.382307040690477400e-03
-5.376488222847041198e-01 1.802163824777136851e-03
-5.377507273117472231e-01 1.458168001767225826e-03
-5.374450122306180244e-01 1.129032280040314154e-03
-5.375469172576611276e-01 1.507195675713953126e-03
-5.373431072035750322e-01 5.069711084292031654e-04
-5.375978697711825127e-01 1.738369537861082737e-03
-5.372921546900534251e-01 1.248076592399911550e-03
-5.375978697711825127e-01 1.738369537861082954e-03
-5.373940597170964173e-01 1.243909380123782134e-03
-5.372921546900534251e-01 1.906468485925047083e-03
-5.373431072035750322e-01 1.138192935510635865e-03
-5.374959647441395205e-01 1.231323126701516996e-03
-5.375978697711825127e-01 1.408355493651717400e-03
-5.371392971494889368e-01 1.129032280040314154e-03
-5.374450122306180244e-01 1.520913325287609388e-03
-5.375469172576611276e-01 1.110484286798537300e-03
-5.373431072035750322e-01 1.689135382064709976e-03
-5.372921546900534251e-01 1.019050270430455016e-03
-5.371902496630103219e-01 1.608034203499513403e-03
-5.371902496630103219e-01 1.437547311496954706e-03
-5.370373921224458336e-01 1.507195675713952692e-03
-5.371392971494889368e-01 1.339382550358642412e-03
-5.370883446359674407e-01 9.984612739199292403e-04
-5.369864396089242264e-01 1.408355493651717400e-03
-5.371902496630103219e-01 1.608034203499513403e-03
-5.370373921224458336e-01 1.110484286798537300e-03
-5.371392971494889368e-01 1.129032280040314154e-03
-5.372921546900534251e-01 1.611259952385386569e-03
-5.370883446359673297e-01 1.598317895793694571e-03
-5.370373921224458336e-01 1.507195675713953126e-03
-5.370883446359673297e-01 1.426670378602636980e-03
-5.374450122306180244e-01 1.339382550358642629e-03
-5.370373921224458336e-01 1.110484286798536866e-03
-5.368845345818812342e-01 1.862382327890554218e-03
-5.368335820683597381e-01 1.458168001767225826e-03
-5.368845345818813453e-01 1.717334041008577224e-03
-5.367316770413167459e-01 1.594251957139641721e-03
-5.365788195007520356e-01 1.767986141215420687e-03
-5.370373921224458336e-01 1.819368642841582727e-03
-5.368335820683597381e-01 1.626494896459874029e-03
-5.369354870954028414e-01 1.300038180531165859e-03
-5.372412021765319290e-01 1.347113538376966315e-03
-5.369354870954028414e-01 1.486381847867826889e-03
-5.369864396089242264e-01 1.408355493651717400e-03
-5.368335820683597381e-01 1.458168001767225826e-03
-5.365788195007522576e-01 1.909190069731661046e-03
-5.368845345818812342e-01 1.558847164277068435e-03
-5.367316770413167459e-01 1.594251957139641721e-03
-5.369354870954028414e-01 1.486381847867826889e-03
-5.367826295548383531e-01 1.689903694764010407e-03
-5.364259619601875473e-01 2.168327301508122563e-03
-5.361711993925798447e-01 2.110689038257460362e-03
-5.365788195007522576e-01 1.767986141215420687e-03
-5.366297720142736427e-01 1.713550528941601555e-03
-5.365278669872306505e-01 1.819368642841582510e-03
-5.366297720142736427e-01 1.713550528941601555e-03
-5.362221519061016739e-01 2.196874803193213897e-03
-5.366297720142736427e-01 1.858894064240411209e-03
-5.363750094466659402e-01 1.957531645726723595e-03
-5.365278669872306505e-01 1.819368642841582510e-03
-5.365788195007520356e-01 1.767986141215420687e-03
-5.361711993925800668e-01 2.230300415426674128e-03
-5.363750094466659402e-01 1.957531645726723595e-03
-5.362221519061014519e-01 2.075337845767052328e-03
-5.362731044196230590e-01 2.038100540860909599e-03
-5.358654843114507571e-01 2.287762183110056240e-03
-5.358145317979292610e-01 2.312031709933367717e-03
-5.357126267708863798e-01 2.356519322744944113e-03
-5.355597692303216695e-01 2.413665257457460033e-03
-5.356107217438433876e-01 2.395851986273333893e-03
-5.361202468790584597e-01 2.144247406690528209e-03
-5.360183418520153564e-01 2.206308554815439825e-03
-5.357635792844078759e-01 2.334937500606389712e-03
-5.355088167168001734e-01 2.430280002945376955e-03
-5.359673893384937493e-01 2.234951724786395609e-03
-5.359164368249723642e-01 2.262085026680307753e-03
-5.353050066627141890e-01 2.587565094350500073e-03
-5.354578642032785663e-01 2.445720649033091779e-03
-5.351521491221497007e-01 2.514804651024825453e-03
-5.349992915815851013e-01 2.534855542146015502e-03
-5.351011966086279825e-01 2.522535393672109896e-03
-5.353050066627141890e-01 2.485208520560984978e-03
-5.348973865545418871e-01 2.543035815259971424e-03
-5.349992915815849903e-01 2.534855542146015502e-03
-5.345407189598913034e-01 2.539460188161220006e-03
-5.351011966086279825e-01 2.522535393672109896e-03
-5.347954815274990059e-01 2.547116099978216121e-03
-5.351521491221495896e-01 2.514804651024825453e-03
-5.348464340410203910e-01 2.545586759642214873e-03
-5.346426239869344066e-01 2.545586759642215306e-03
-5.347954815274988949e-01 2.547116099978215253e-03
-5.347954815274988949e-01 2.547116099978215253e-03
-5.342350038787622157e-01 2.496153184799823101e-03
-5.339802413111546242e-01 2.430280002945376522e-03
-5.339802413111546242e-01 2.430280002945376088e-03
-5.336745262300255366e-01 2.312031709933367717e-03
-5.340311938246761203e-01 2.445720649033091779e-03
-5.335216686894608262e-01 2.234951724786395175e-03
-5.338273837705898028e-01 2.376813242123630796e-03
-5.338783362841116320e-01 2.395851986273333459e-03
-5.338273837705900249e-01 2.376813242123630796e-03
-5.338273837705901359e-01 2.376813242123630796e-03
-5.341840513652407196e-01 2.485208520560984978e-03
-5.335726212029824334e-01 2.262085026680307753e-03
-5.337764312570685288e-01 2.356519322744943679e-03
-5.335726212029824334e-01 2.262085026680307753e-03
-5.337764312570684178e-01 2.356519322744944113e-03
-5.332159536083318496e-01 2.038100540860909599e-03
-5.330630960677672503e-01 1.913943529156780657e-03
-5.334197636624178340e-01 2.176095896027927055e-03
-5.331650010948102425e-01 1.998871716237366446e-03
-5.332159536083318496e-01 2.038100540860909599e-03
-5.326554759595949484e-01 1.458168001767225826e-03
-5.327573809866380516e-01 1.594251957139641938e-03
-5.329611910407241471e-01 1.819368642841582510e-03
-5.333178586353746198e-01 2.110689038257460796e-03
-5.330121435542457542e-01 1.867950000485111900e-03
-5.331650010948102425e-01 1.998871716237366879e-03
-5.328592860136811549e-01 1.713550528941601555e-03
-5.328592860136811549e-01 1.713550528941601772e-03
-5.329611910407241471e-01 1.819368642841582510e-03
-5.328592860136811549e-01 1.713550528941601772e-03
-5.326554759595950594e-01 1.458168001767226043e-03
-5.325026184190305711e-01 1.210055151497972398e-03
-5.326045234460735633e-01 1.382307040690477617e-03
-5.326045234460735633e-01 1.382307040690477617e-03
-5.325026184190305711e-01 1.210055151497972182e-03
-5.326045234460735633e-01 1.382307040690477617e-03
-5.327064284731166666e-01 1.528575405645682308e-03
-5.324007133919874679e-01 9.984612739199292403e-04
-5.328083335001595477e-01 1.655760706646335241e-03
-5.325026184190303491e-01 1.408355493651716967e-03
-5.324516659055089640e-01 1.110484286798537300e-03
-5.324007133919873569e-01 9.984612739199292403e-04
-5.323497608784658608e-01 8.691847689305415856e-04
-5.324516659055089640e-01 1.323785132889264329e-03
-5.326554759595950594e-01 1.458168001767225826e-03
-5.323497608784658608e-01 8.691847689305414772e-04
-5.324007133919874679e-01 9.984612739199292403e-04
-5.323497608784658608e-01 8.691847689305415856e-04
-5.323497608784658608e-01 8.691847689305414772e-04
-5.324007133919874679e-01 9.984612739199292403e-04
-5.322478558514228686e-01 5.069711084292029485e-04
-5.322988083649444757e-01 7.133351893013185983e-04
-5.322478558514228686e-01 5.069711084292029485e-04
-5.323497608784658608e-01 8.691847689305414772e-04
-5.322478558514228686e-01 5.069711084292029485e-04
-5.321969033379012615e-01 7.205773565913597620e-04
-5.322988083649442537e-01 7.133351893013183814e-04
-5.323497608784658608e-01 8.691847689305414772e-04
-5.323497608784658608e-01 8.691847689305414772e-04
-5.321969033379013725e-01 1.110223024625156540e-16
-5.320440457973367732e-01 8.691847689305413687e-04
-5.320440457973367732e-01 8.691847689305414772e-04
-5.320440457973367732e-01 1.129032280040314154e-03
-5.321459508243797654e-01 5.069711084292031654e-04
-5.320440457973367732e-01 8.691847689305413687e-04
-5.321969033379013725e-01 1.110223024625156540e-16
-5.320949983108583803e-01 1.013942216858406331e-03
-5.319930932838152771e-01 1.231323126701516996e-03
-5.322478558514228686e-01 5.069711084292030569e-04
-5.321969033379013725e-01 1.110223024625156540e-16
-5.321969033379013725e-01 7.205773565913597620e-04
-5.321459508243797654e-01 5.069711084292031654e-04
-5.321459508243797654e-01 8.810513217821798861e-04
-5.320440457973367732e-01 8.691847689305414772e-04
-5.320440457973367732e-01 8.691847689305413687e-04
-5.319930932838152771e-01 9.984612739199292403e-04
-5.319421407702936699e-01 1.110484286798537300e-03
-5.318911882567722849e-01 1.210055151497972182e-03
-5.318911882567722849e-01 1.210055151497972182e-03
-5.317892832297291816e-01 1.382307040690477400e-03
-5.318911882567722849e-01 1.210055151497972182e-03
-5.318911882567722849e-01 1.210055151497972182e-03
-5.317383307162075745e-01 1.458168001767225826e-03
-5.314326156350784869e-01 1.819368642841582727e-03
-5.318402357432506777e-01 1.300038180531165859e-03
-5.320949983108583803e-01 7.133351893013184898e-04
-5.316364256891645823e-01 1.594251957139641938e-03
-5.318911882567722849e-01 1.210055151497972182e-03
-5.317892832297291816e-01 1.382307040690477400e-03
-5.317892832297291816e-01 1.382307040690477400e-03
-5.315854731756430862e-01 1.655760706646335458e-03
-5.313307106080354947e-01 1.913943529156780224e-03
-5.313307106080354947e-01 1.913943529156780007e-03
-5.313307106080354947e-01 1.913943529156780007e-03
-5.310249955269062960e-01 2.144247406690528643e-03
-5.312797580945139986e-01 1.957531645726723595e-03
-5.305154703916908909e-01 2.395851986273333893e-03
-5.310249955269062960e-01 2.144247406690528643e-03
-5.310759480404279032e-01 2.110689038257460362e-03
-5.312288055809923915e-01 1.998871716237366879e-03
-5.307702329592985935e-01 2.287762183110056673e-03
-5.309230904998633038e-01 2.206308554815440259e-03
-5.312288055809922804e-01 1.998871716237366446e-03
-5.307702329592988155e-01 2.287762183110056240e-03
-5.308211854728200896e-01 2.262085026680307753e-03
-5.310249955269062960e-01 2.144247406690528643e-03
-5.308211854728202006e-01 2.262085026680307753e-03
-5.301078502835188111e-01 2.506014312815343925e-03
-5.302097553105619143e-01 2.485208520560984978e-03
-5.300568977699974260e-01 2.514804651024825886e-03
-5.305664229052127201e-01 2.376813242123630363e-03
-5.297511826888681163e-01 2.545586759642214873e-03
-5.300568977699974260e-01 2.514804651024825886e-03
-5.295473726347819099e-01 2.545586759642215306e-03
