# V, V_err
1.063584867642583642e+00 3.069604564962140087e-03
1.068170593859520290e+00 3.139348888768894123e-03
1.066692970967396237e+00 3.171359101195954291e-03
1.066081540805137839e+00 3.271992531960671302e-03
1.066336303372745764e+00 3.090810716900561743e-03
1.065215348075272184e+00 3.134714415813950363e-03
1.070514409481510221e+00 3.377021741151414128e-03
1.067864878778391313e+00 3.390126932601818938e-03
1.068323451400084778e+00 3.321134704698035060e-03
1.066743923480917511e+00 3.116607442759262818e-03
1.068323451400085000e+00 3.217101516054406227e-03
1.068170593859520290e+00 2.998930939330393761e-03
1.061241052020593489e+00 3.093329571757966190e-03
1.068017736318955579e+00 3.168754799574312331e-03
1.065521063156401382e+00 3.270702923477665329e-03
1.071686317292505297e+00 3.020912607881302316e-03
1.061903434696373383e+00 3.143419095182968005e-03
1.070718219535596427e+00 2.874277308131519167e-03
1.066081540805138284e+00 2.867753035906122922e-03
1.068221546373042008e+00 3.238993214047118478e-03
1.065011538021185977e+00 3.089634548539956470e-03
1.070514409481510443e+00 3.202619821944258614e-03
1.077291093779872533e+00 3.013771184268828219e-03
1.071584412265462083e+00 3.240291436679416763e-03
1.073979180400973510e+00 3.604223206092559834e-03
1.070667267022074709e+00 3.212175124314183786e-03
1.074641563076753181e+00 2.837391719674542921e-03
1.071074887130247122e+00 3.299913880917034002e-03
1.069342501670514922e+00 3.420185335249510510e-03
1.068731071508257191e+00 2.931430551637182608e-03
1.071737269806026571e+00 3.553034620276502957e-03
1.071992032373634274e+00 3.044147249250354383e-03
1.073062035157586136e+00 3.190437111883811204e-03
1.068374403913606496e+00 3.150542694135859134e-03
1.070361551940945510e+00 3.260546849922976199e-03
1.072450604995327961e+00 2.841720850671833158e-03
1.067661068724305329e+00 3.550988105377445199e-03
1.071125839643768396e+00 3.272924701547034413e-03
1.064145345291320321e+00 3.266131630502088715e-03
1.069597264238122847e+00 3.242321871574942692e-03
1.069036786589386390e+00 3.223824761152098949e-03
1.069902979319252045e+00 3.388441754134483876e-03
1.069750121778687335e+00 2.936739515633246447e-03
1.073062035157586358e+00 3.213948687466375385e-03
1.069648216751644343e+00 3.148172701016644336e-03
1.068985834075864449e+00 3.250095451327748765e-03
1.077494903833958517e+00 2.866666477675217442e-03
1.074488705536188915e+00 3.099366471368666855e-03
1.077291093779872533e+00 2.848131566826415505e-03
1.075405850779576289e+00 3.559750599656098195e-03
1.078259191536781181e+00 3.079366066718634137e-03
1.073062035157586136e+00 3.189623276754990824e-03
1.072195842427720480e+00 3.281816549311310314e-03
1.065928683264573573e+00 3.435707244494222261e-03
1.069495359211079855e+00 2.896124912243009351e-03
1.071584412265462083e+00 3.065732756411399060e-03
1.070259646913902296e+00 3.047369264528465398e-03
1.068832976535300183e+00 3.237453905693206575e-03
1.074845373130839388e+00 3.384413079681161153e-03
1.077036331212264830e+00 3.833346246662211552e-03
1.070157741886859748e+00 2.850136228313202187e-03
1.074590610563231463e+00 3.161007045741252332e-03
1.071074887130246900e+00 2.853540920773152932e-03
1.071074887130246900e+00 3.358400723051521101e-03
