# V, V_err
-5.370373921224458336e-01 1.507195675713952692e-03
-5.370373921224458336e-01 1.323785132889264329e-03
-5.368845345818812342e-01 1.558847164277068435e-03
-5.368845345818813453e-01 1.558847164277068218e-03
-5.366807245277951388e-01 1.655760706646335892e-03
-5.367826295548381310e-01 1.689903694764010623e-03
-5.365278669872306505e-01 1.956868412895310886e-03
-5.367316770413167459e-01 1.594251957139641504e-03
-5.367316770413167459e-01 1.749534518000650908e-03
-5.368845345818812342e-01 1.382307040690477617e-03
-5.368845345818812342e-01 1.382307040690477617e-03
-5.369354870954028414e-01 1.486381847867826889e-03
-5.365788195007522576e-01 1.909190069731661046e-03
-5.367316770413167459e-01 1.892115946898593592e-03
-5.368335820683597381e-01 1.626494896459874029e-03
-5.366807245277951388e-01 1.805761679875327388e-03
-5.367316770413167459e-01 1.594251957139641721e-03
-5.366297720142736427e-01 1.713550528941601772e-03
-5.366297720142736427e-01 1.713550528941601555e-03
-5.363750094466661622e-01 1.957531645726723595e-03
-5.366297720142736427e-01 1.858894064240411209e-03
-5.364259619601875473e-01 1.913943529156780657e-03
-5.365278669872306505e-01 1.819368642841582510e-03
-5.363750094466659402e-01 1.957531645726724029e-03
-5.364769144737090434e-01 1.867950000485111683e-03
-5.367316770413167459e-01 1.594251957139641721e-03
-5.365788195007522576e-01 1.767986141215420470e-03
-5.364259619601875473e-01 1.913943529156780657e-03
-5.364769144737091544e-01 1.867950000485111683e-03
-5.366297720142736427e-01 1.713550528941601772e-03
-5.364769144737090434e-01 2.002116113302252962e-03
-5.366297720142736427e-01 1.713550528941601555e-03
-5.362221519061016739e-01 2.075337845767052762e-03
-5.361711993925798447e-01 2.110689038257460362e-03
-5.360692943655368525e-01 2.176095896027927055e-03
-5.361202468790584597e-01 2.262085026680307753e-03
-5.358654843114508681e-01 2.287762183110056673e-03
-5.359673893384937493e-01 2.234951724786395175e-03
-5.360692943655369636e-01 2.176095896027927488e-03
-5.357635792844077649e-01 2.334937500606389712e-03
-5.361202468790584597e-01 2.144247406690528643e-03
-5.359673893384939714e-01 2.234951724786395609e-03
-5.362221519061016739e-01 2.075337845767052762e-03
-5.357126267708862688e-01 2.356519322744943679e-03
-5.358654843114508681e-01 2.287762183110056240e-03
-5.356616742573649947e-01 2.376813242123630363e-03
-5.356107217438431656e-01 2.395851986273334327e-03
-5.353050066627140779e-01 2.485208520560984978e-03
-5.354069116897570701e-01 2.460009304094029885e-03
-5.352031016356710857e-01 2.506014312815343925e-03
-5.350502440951063754e-01 2.529216256980134150e-03
-5.351011966086279825e-01 2.522535393672109896e-03
-5.348973865545419981e-01 2.543035815259971424e-03
-5.348464340410203910e-01 2.545586759642214873e-03
