# V, V_err
-5.306683279322557123e-01 2.334937500606389603e-04
-5.304645178781695058e-01 2.413665257457460575e-04
-5.306683279322556013e-01 2.334937500606389603e-04
-5.305664229052124981e-01 2.376813242123630688e-04
-5.303626128511264026e-01 2.445720649033091562e-04
-5.303626128511266247e-01 2.445720649033092105e-04
-5.306173754187341052e-01 2.356519322744944167e-04
-5.304135653646478987e-01 2.430280002945377010e-04
-5.292926100671745404e-01 2.522535393672109679e-04
-5.297511826888683384e-01 2.545586759642214981e-04
-5.297511826888680053e-01 2.545586759642214981e-04
-5.300059452564758189e-01 2.522535393672110764e-04
-5.297511826888681163e-01 2.545586759642215523e-04
-5.304135653646480097e-01 2.430280002945377010e-04
-5.300059452564758189e-01 2.522535393672110764e-04
-5.301588027970403072e-01 2.496153184799823101e-04
-5.307702329592985935e-01 2.287762183110056728e-04
-5.307192804457772084e-01 2.312031709933367609e-04
-5.302097553105619143e-01 2.485208520560984870e-04
-5.309230904998633038e-01 2.206308554815440367e-04
-5.308211854728202006e-01 2.262085026680307753e-04
-5.306683279322557123e-01 2.334937500606389603e-04
-5.302097553105619143e-01 2.485208520560984870e-04
-5.290378474995668379e-01 2.473165935007842460e-04
-5.295473726347821319e-01 2.545586759642214981e-04
-5.303116603376050175e-01 2.460009304094029669e-04
-5.303626128511264026e-01 2.445720649033091562e-04
-5.300568977699973150e-01 2.514804651024825670e-04
-5.299040402294327157e-01 2.534855542146015827e-04
-5.301078502835188111e-01 2.506014312815343925e-04
-5.304645178781695058e-01 2.413665257457460846e-04
-5.307702329592985935e-01 2.287762183110056185e-04
-5.307702329592985935e-01 2.287762183110056185e-04
-5.305664229052127201e-01 2.376813242123630688e-04
-5.311778530674708954e-01 2.038100540860909545e-04
-5.308721379863416967e-01 2.234951724786395663e-04
-5.304645178781696169e-01 2.413665257457460033e-04
-5.305154703916911130e-01 2.395851986273333893e-04
-5.300059452564757079e-01 2.522535393672109679e-04
-5.301588027970401962e-01 2.496153184799823101e-04
-5.296492776618252352e-01 2.547625676076137541e-04
-5.299549927429541007e-01 2.529216256980133934e-04
-5.301588027970401962e-01 2.496153184799823101e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.292416575536528223e-01 2.514804651024825670e-04
-5.303626128511264026e-01 2.445720649033091562e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.306173754187341052e-01 2.356519322744944167e-04
-5.299040402294328267e-01 2.534855542146015827e-04
-5.306683279322556013e-01 2.334937500606389603e-04
-5.305154703916911130e-01 2.395851986273333893e-04
-5.302097553105618033e-01 2.485208520560984870e-04
-5.299549927429542118e-01 2.529216256980133934e-04
-5.299040402294328267e-01 2.534855542146015827e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.294454676077389177e-01 2.539460188161220115e-04
-5.297511826888683384e-01 2.545586759642215523e-04
-5.302097553105618033e-01 2.485208520560984870e-04
-5.299549927429542118e-01 2.529216256980133934e-04
-5.300568977699973150e-01 2.514804651024825670e-04
-5.305664229052124981e-01 2.376813242123630688e-04
-5.302607078240832994e-01 2.473165935007842460e-04
-5.301078502835188111e-01 2.506014312815343925e-04
-5.295473726347822430e-01 2.545586759642214981e-04
-5.295473726347821319e-01 2.545586759642215523e-04
-5.292926100671744294e-01 2.522535393672110764e-04
-5.299549927429544338e-01 2.529216256980135018e-04
-5.294454676077389177e-01 2.539460188161220115e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.294454676077390287e-01 2.539460188161220657e-04
-5.300568977699972040e-01 2.514804651024825670e-04
-5.303116603376050175e-01 2.460009304094029669e-04
-5.304135653646480097e-01 2.430280002945377010e-04
-5.306683279322557123e-01 2.334937500606389603e-04
-5.304645178781695058e-01 2.413665257457460846e-04
-5.303116603376050175e-01 2.460009304094029669e-04
-5.303116603376050175e-01 2.460009304094029669e-04
-5.305154703916911130e-01 2.395851986273333893e-04
-5.303116603376050175e-01 2.460009304094029669e-04
-5.292416575536529333e-01 2.514804651024825670e-04
-5.287321324184375282e-01 2.376813242123630688e-04
-5.278659396885717614e-01 1.819368642841582672e-04
-5.285283223643516548e-01 2.287762183110056185e-04
-5.285283223643514328e-01 2.287762183110056185e-04
-5.289359424725236236e-01 2.445720649033092105e-04
-5.292416575536529333e-01 2.514804651024825670e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.296492776618251241e-01 2.547625676076136999e-04
-5.306173754187341052e-01 2.356519322744944167e-04
-5.301078502835189221e-01 2.506014312815343383e-04
-5.303626128511266247e-01 2.445720649033091562e-04
-5.302607078240834104e-01 2.473165935007842460e-04
-5.304645178781696169e-01 2.413665257457460033e-04
-5.301588027970401962e-01 2.496153184799823643e-04
-5.299549927429542118e-01 2.529216256980133934e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.293945150942175326e-01 2.534855542146015827e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.294454676077390287e-01 2.539460188161220115e-04
-5.292416575536529333e-01 2.514804651024825670e-04
-5.293945150942174216e-01 2.534855542146015827e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.305154703916908909e-01 2.395851986273333351e-04
-5.300059452564758189e-01 2.522535393672110764e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.300059452564757079e-01 2.522535393672109679e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.292926100671744294e-01 2.522535393672110764e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.297002301753467313e-01 2.547116099978215904e-04
-5.301588027970403072e-01 2.496153184799822559e-04
-5.298530877159112196e-01 2.539460188161220657e-04
-5.298530877159113306e-01 2.539460188161220657e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.295983251483035170e-01 2.547116099978215904e-04
-5.304135653646480097e-01 2.430280002945377010e-04
-5.303626128511266247e-01 2.445720649033091562e-04
-5.299040402294327157e-01 2.534855542146015827e-04
-5.307702329592988155e-01 2.287762183110056185e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.295473726347819099e-01 2.545586759642214981e-04
-5.295473726347821319e-01 2.545586759642215523e-04
-5.292416575536530443e-01 2.514804651024825670e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.297511826888681163e-01 2.545586759642214981e-04
-5.293435625806961475e-01 2.529216256980133934e-04
-5.295983251483036280e-01 2.547116099978215362e-04
-5.290888000130883340e-01 2.485208520560984870e-04
-5.295473726347821319e-01 2.545586759642215523e-04
-5.301078502835189221e-01 2.506014312815343383e-04
-5.297002301753466202e-01 2.547116099978215362e-04
-5.296492776618250131e-01 2.547625676076137541e-04
-5.295983251483036280e-01 2.547116099978215362e-04
-5.293945150942174216e-01 2.534855542146015285e-04
-5.295983251483035170e-01 2.547116099978215904e-04
-5.297002301753466202e-01 2.547116099978215362e-04
-5.289359424725238457e-01 2.445720649033091562e-04
-5.292926100671744294e-01 2.522535393672110764e-04
-5.289359424725238457e-01 2.445720649033091562e-04
-5.287321324184375282e-01 2.376813242123630688e-04
-5.284773698508300477e-01 2.262085026680307753e-04
-5.288849899590022385e-01 2.430280002945377010e-04
-5.291907050401313262e-01 2.506014312815343383e-04
-5.290888000130883340e-01 2.485208520560984870e-04
-5.291907050401313262e-01 2.506014312815343925e-04
-5.287830849319591353e-01 2.395851986273333893e-04
-5.285792748778730399e-01 2.312031709933367609e-04
-5.284264173373085516e-01 2.234951724786395121e-04
-5.286302273913945360e-01 2.334937500606389603e-04
-5.293435625806961475e-01 2.529216256980133934e-04
-5.296492776618251241e-01 2.547625676076136999e-04
-5.286302273913945360e-01 2.334937500606389603e-04
-5.285283223643514328e-01 2.287762183110056185e-04
-5.282226072832223451e-01 2.110689038257460362e-04
-5.275602246074426738e-01 1.458168001767226260e-04
-5.277130821480071621e-01 1.655760706646335566e-04
-5.275602246074427848e-01 1.458168001767225718e-04
-5.282226072832223451e-01 2.110689038257460362e-04
-5.290888000130883340e-01 2.485208520560984870e-04
-5.289868949860454528e-01 2.460009304094029669e-04
-5.284773698508300477e-01 2.262085026680307753e-04
-5.277640346615286582e-01 1.713550528941602043e-04
-5.276621296344856660e-01 1.594251957139641992e-04
-5.275092720939210666e-01 1.382307040690477292e-04
-5.271526044992704829e-01 5.069711084292031789e-05
-5.272545095263134751e-01 8.691847689305413687e-05
-5.278149871750501543e-01 1.767986141215420416e-04
-5.283754648237869445e-01 2.206308554815440367e-04
-5.283754648237869445e-01 2.206308554815440367e-04
-5.286811799049161431e-01 2.356519322744944167e-04
-5.285792748778730399e-01 2.312031709933367609e-04
-5.283245123102655594e-01 2.176095896027927597e-04
-5.283245123102656704e-01 2.176095896027927055e-04
-5.281716547697008490e-01 2.075337845767052871e-04
-5.275092720939210666e-01 1.382307040690477292e-04
-5.279678447156147536e-01 1.913943529156779952e-04
-5.276621296344857770e-01 1.594251957139642263e-04
-5.277130821480071621e-01 1.655760706646335295e-04
-5.283754648237869445e-01 2.206308554815440367e-04
-5.279168922020933685e-01 1.867950000485111791e-04
-5.275602246074426738e-01 1.458168001767225989e-04
-5.277640346615286582e-01 1.713550528941602043e-04
-5.275602246074426738e-01 1.458168001767226260e-04
-5.282735597967439523e-01 2.144247406690528697e-04
-5.285792748778730399e-01 2.312031709933367609e-04
-5.288849899590022385e-01 2.430280002945377010e-04
-5.281716547697010711e-01 2.075337845767052328e-04
-5.274073670668779634e-01 1.210055151497972209e-04
-5.267449843910982921e-01 1.300038180531165751e-04
-5.198663950656926547e-01 2.713430648916695192e-04
-5.111025627399913285e-01 4.780855636300557687e-04
-4.969887164945309133e-01 4.730358471388113701e-04
-5.208344928226017467e-01 3.444857198310220521e-04
-5.261845067423613909e-01 1.957531645726723649e-04
-5.250635514448882546e-01 2.496153184799822559e-04
-5.271016519857488758e-01 1.019050270430455044e-04
-5.275092720939211777e-01 1.382307040690477834e-04
