# V, V_err
9.717174857632829843e-01 2.828410695363750907e-03
9.725836784931487511e-01 3.071599917630813727e-03
9.781884549805159867e-01 3.377698192468569453e-03
9.797170303861615359e-01 3.695975358000860942e-03
9.741632064123157964e-01 2.724430469182646201e-03
9.751313041692247774e-01 3.384455269517780245e-03
9.776279773317790855e-01 2.778552266904777465e-03
9.736536812771008353e-01 2.843698078212429127e-03
9.768636896289564220e-01 3.218533598978091069e-03
9.808889381971565014e-01 3.112627288530736818e-03
9.798189354132046391e-01 3.000038823911538831e-03
9.769146421424779181e-01 2.993979406356127044e-03
9.778317873858654030e-01 3.026870936511574534e-03
9.811437007647643149e-01 3.004466276960080211e-03
9.714627231956752818e-01 3.530016466060476206e-03
9.839970415219692068e-01 3.034353729814168350e-03
9.772713097371285018e-01 3.393127540020279050e-03
9.762013069531764176e-01 2.849626084642190894e-03
9.790036951968602574e-01 2.697207771577629989e-03
9.860351420628302721e-01 2.938909001921537548e-03
9.845575191707059970e-01 3.003934808591953581e-03
9.884299101983414770e-01 3.249252613759536033e-03
9.850160917923994619e-01 3.098361138266852392e-03
9.839460890084475997e-01 3.074358302129198521e-03
9.855256169276147560e-01 2.998550009467072092e-03
9.838951364949261036e-01 2.988767776273093361e-03
9.844556141436630048e-01 3.087755951243075381e-03
9.824175136028020505e-01 3.085569119228970258e-03
9.859332370357869468e-01 3.047262770870644462e-03
9.809908432241996046e-01 3.224919788475730156e-03
9.844556141436630048e-01 3.417406011326981023e-03
9.926589688206276518e-01 2.411356973680180236e-03
9.800227454672908456e-01 3.353817367832987416e-03
9.840479940354908139e-01 3.183761599880174844e-03
9.822646560622375622e-01 2.725702317745645753e-03
9.822646560622375622e-01 2.804569089094254355e-03
9.862389521169163675e-01 3.079568399792835965e-03
9.847103767112704853e-01 2.859062628543141468e-03
9.888375303065134458e-01 3.036256817787201870e-03
9.864427621710021299e-01 2.779014734932049903e-03
9.863408571439592487e-01 2.644091819040649428e-03
9.892961029282072438e-01 3.117606891990140367e-03
9.879203850631261830e-01 3.008546377984412396e-03
9.864937146845238480e-01 3.010789154587349258e-03
9.863408571439592487e-01 2.992309722429010565e-03
9.825703711433665388e-01 3.069266241030438411e-03
9.816022733864576688e-01 2.832794792813393518e-03
9.804303655754627034e-01 2.858481420418941370e-03
9.831308487921035510e-01 2.850609851404248794e-03
9.850670443059210690e-01 3.048289214796142711e-03
9.855256169276147560e-01 2.708311826706916604e-03
9.851179968194426761e-01 3.151893822433251505e-03
9.841498990625339172e-01 2.870576162519642392e-03
9.854746644140932599e-01 2.837849173143597043e-03
9.779846449264297803e-01 2.965677032183903876e-03
9.795132203320755515e-01 3.179285779016229573e-03
9.818060834405440973e-01 3.254601523031809031e-03
9.844046616301415087e-01 2.803198734650443578e-03
9.874108599279111109e-01 2.896792671849259416e-03
9.903151531986376099e-01 2.976861085146192097e-03
9.806851281430705169e-01 2.538110357817596405e-03
9.872070498738249045e-01 3.024708750736542461e-03
9.804813180889843105e-01 2.630136964159708168e-03
9.781884549805162088e-01 3.055668583034683132e-03
9.885318152253844692e-01 2.741434635462557633e-03
9.833856113597109205e-01 3.161828246520396318e-03
9.843027566030986275e-01 2.871168485588529353e-03
9.845575191707061080e-01 3.106749865009601937e-03
9.888375303065136679e-01 3.123916845798662030e-03
9.854746644140932599e-01 2.922578613610587583e-03
9.827741811974527453e-01 2.808454291604181065e-03
9.812456057918069741e-01 3.103049906112524941e-03
9.917927760907615520e-01 3.315047435317052590e-03
9.851179968194426761e-01 3.072647803996160845e-03
9.798189354132046391e-01 2.673308003239766202e-03
9.834875163867541348e-01 3.146254792253409815e-03
9.827232286839313602e-01 2.874083105240188892e-03
9.844556141436630048e-01 2.793777937504339677e-03
9.846084716842276041e-01 3.094034483650396922e-03
9.898056280634227599e-01 3.300759512980666523e-03
9.857294269817009624e-01 2.788080382775481956e-03
9.919456336313261513e-01 3.048353089922096852e-03
9.854237119005716528e-01 3.059167016769549947e-03
9.860860945763515462e-01 3.220085983089955063e-03
9.883280051712982628e-01 2.765721958792257025e-03
9.908246783338529040e-01 3.424899703535638079e-03
9.906208682797668086e-01 3.381078418993872618e-03
9.917927760907619961e-01 3.198665530690461469e-03
9.849141867653565807e-01 2.962594015797433925e-03
9.849141867653565807e-01 2.972217823846407848e-03
9.883280051712985959e-01 3.249140751584270702e-03
9.879713375766479011e-01 3.163470008555617410e-03
