# V, V_err
1.057011993398307537e+00 2.941597648839407771e-03
1.062362007318066848e+00 3.475525440144418884e-03
1.056145800668441659e+00 3.100036512310601518e-03
1.055840085587312238e+00 3.104388253336588278e-03
1.063788677696669405e+00 3.420925348029745655e-03
1.059916286669033925e+00 3.082904978325666599e-03
1.058540568803953086e+00 3.306029015271408529e-03
1.067966783805434305e+00 3.318080729550883408e-03
1.061852482182851887e+00 3.160185631566223181e-03
1.057980091155216407e+00 2.913748788733505450e-03
1.065521063156401382e+00 3.236391195623240184e-03
1.062260102291024078e+00 3.106227539225754359e-03
1.061546767101722910e+00 3.393066329658556667e-03
1.063432010102019154e+00 3.388031822669813897e-03
1.065266300588793680e+00 2.868296160669238544e-03
1.060120096723120131e+00 2.957436808606563571e-03
1.059763429128469658e+00 2.952890488155200405e-03
1.056808183344221330e+00 3.011823718962111478e-03
1.059610571587904726e+00 2.757180761387070279e-03
1.064858680480621267e+00 3.145318098011395253e-03
1.059559619074383452e+00 3.168902270019302407e-03
1.060476764317770826e+00 3.062394423273504755e-03
1.058999141425646773e+00 3.154363900962899210e-03
1.058336758749866879e+00 3.209377449212612223e-03
1.059763429128469658e+00 2.878090961817990085e-03
1.060782479398899802e+00 3.513522186037744497e-03
1.066030588291616343e+00 3.608686365756903769e-03
1.062820579939760757e+00 3.293377504651080583e-03
1.065877730751051855e+00 3.007079042713547718e-03
1.061954387209894879e+00 2.422956764165199849e-03
1.067508211183740618e+00 3.073175837093452753e-03
1.062412959831588566e+00 2.992713134009479439e-03
1.069138691616429160e+00 2.880579521582244708e-03
1.066794875994439451e+00 3.276353594193127938e-03
1.062871532453282031e+00 3.179841008666509875e-03
1.066845828507960947e+00 2.901212137951769167e-03
1.073520607779279823e+00 2.761814243121617912e-03
1.068680118994735473e+00 2.700670676929094009e-03
1.062412959831588566e+00 3.039196774636709029e-03
1.065470110642879664e+00 3.230019649101754323e-03
1.071125839643768174e+00 3.292695557397434195e-03
1.070106789373338030e+00 3.494209553272469796e-03
1.067610116210783833e+00 3.272071875881289033e-03
1.073062035157586358e+00 2.745177494317977730e-03
1.062565817372153054e+00 3.087987160220364256e-03
1.065266300588793680e+00 3.293030635834385319e-03
1.069546311724601573e+00 3.310360923092459280e-03
1.068323451400084778e+00 3.141155306355561221e-03
1.067712021237826603e+00 3.551357296126736625e-03
1.063330105074975940e+00 2.818572203594773944e-03
1.062565817372153276e+00 2.894439142709722031e-03
1.068272498886563504e+00 3.140837088500045889e-03
1.062922484966803749e+00 3.045937678512472633e-03
1.064349155345406306e+00 3.474662567595050711e-03
1.061750577155808672e+00 3.341999404788845683e-03
1.067304401129654190e+00 3.081409862746911470e-03
1.060272954263684619e+00 3.178244461984912339e-03
1.060069144209598635e+00 3.315047435317053457e-03
1.064196297804841596e+00 3.095712199245014180e-03
1.064298202831884588e+00 3.466310392383428925e-03
1.062260102291023856e+00 3.030929443019732793e-03
1.062005339723416375e+00 3.160929020570601902e-03
1.060069144209598635e+00 3.061817895949103634e-03
1.059559619074383452e+00 3.586275208852774364e-03
1.068680118994735473e+00 3.216629394101473173e-03
1.062820579939760757e+00 3.139204165054002189e-03
1.061903434696373161e+00 3.359019093486614264e-03
1.062260102291024078e+00 2.825228430112039675e-03
1.059916286669033925e+00 3.307171400372504923e-03
1.062209149777502359e+00 3.109088807365993808e-03
1.063177247534411229e+00 2.962173355857140866e-03
1.062209149777502359e+00 3.415475861485804850e-03
1.065979635778095069e+00 3.638894247435409124e-03
1.067049638562046709e+00 3.361055046619989498e-03
1.057827233614651696e+00 3.112543880105048903e-03
