# V, V_err
1.001422801146328867e+00 3.092187945133256961e-03
9.972446950375644104e-01 3.117740127680189259e-03
1.002747566497888654e+00 3.132129377729257150e-03
9.994866056325111270e-01 3.054512880617851322e-03
1.004225189390012707e+00 3.060902011712292488e-03
1.005549954741572272e+00 2.913664142228032574e-03
1.000098035794769302e+00 3.076498251932854346e-03
9.995375581460328451e-01 3.192393535878026815e-03
1.004123284362969493e+00 3.108921798410968149e-03
1.001677563713936792e+00 2.866883822266130376e-03
1.004530904471141683e+00 3.218489234144043289e-03
9.953594520372681664e-01 3.305243641934457223e-03
1.003257091633103615e+00 2.972217823846406114e-03
1.006518052498481142e+00 3.131399878590807734e-03
1.002136136335630479e+00 3.168619612303740819e-03
1.005295192173964791e+00 3.037021993254955705e-03
9.956651671183973651e-01 3.239409984182745235e-03
1.001983278795065990e+00 2.815328099901067641e-03
1.005957574849744240e+00 2.993892692458728112e-03
1.003562806714232813e+00 3.269782030291031125e-03
1.002492803930281173e+00 3.224935889044562749e-03
1.006467099984959424e+00 2.907402391565675620e-03
1.006161384903830225e+00 2.899086082869286457e-03
1.001830421254501280e+00 2.728938805410674115e-03
1.008097580417648187e+00 3.078729473877272159e-03
1.006263289930873439e+00 2.897419956748990399e-03
1.004938524579314096e+00 2.825802696687451307e-03
1.003206139119582119e+00 2.889703873627846691e-03
1.004276141903534203e+00 3.356200720154364249e-03
1.006365194957916431e+00 2.985765122096233765e-03
1.006161384903830447e+00 2.639399218110322510e-03
1.004072331849448219e+00 3.477108683619186021e-03
1.001473753659850585e+00 3.006630067724914805e-03
1.009829965877379943e+00 2.953066321383773611e-03
1.006619957525524356e+00 2.642166649867429447e-03
1.002085183822108982e+00 3.020654778235306714e-03
1.005397097201007783e+00 3.046819717304370938e-03
1.004785667038749386e+00 3.200186990178124219e-03
1.006569005012002638e+00 3.643015637878794372e-03
1.005906622336222744e+00 3.166980519823137889e-03
1.007944722877083477e+00 2.750355135967044382e-03
1.007129482660739317e+00 2.864143168669226573e-03
1.008709010579906362e+00 2.920943664119571466e-03
1.008658058066384866e+00 3.173073660256818616e-03
1.002849471524931646e+00 2.915316532083302159e-03
1.004174236876491211e+00 3.254948499090673433e-03
1.004683762011706172e+00 2.948786203674443746e-03
1.010492348553159614e+00 3.167144467243787707e-03
1.008250437958212897e+00 3.139315809650838288e-03
1.008658058066384866e+00 3.189395365705236744e-03
1.010849016147810531e+00 3.036462023425224623e-03
1.006059479876787233e+00 3.231771369578672389e-03
1.008709010579906362e+00 3.386084928876092939e-03
1.008709010579906584e+00 3.190278430328328911e-03
1.018797608257167475e+00 3.097644639376485442e-03
1.005499002228050776e+00 2.876263746951944738e-03
1.007944722877083477e+00 2.920654787174972299e-03
1.007180435174260591e+00 3.010323484620192579e-03
1.010339491012595126e+00 2.730237080685033249e-03
1.005346144687486065e+00 3.245895071547478389e-03
1.010033775931465927e+00 2.942815340025225525e-03
1.006212337417351943e+00 2.815102163752105941e-03
1.008250437958212675e+00 3.154989347180411127e-03
1.010849016147810531e+00 3.268690118284415993e-03
1.017167127824478490e+00 2.648236977307031302e-03
1.010237585985552133e+00 3.142642650657037108e-03
1.009880918390901217e+00 2.971344220234658096e-03
1.015281884824182468e+00 3.506699163740618994e-03
1.011715208877676186e+00 2.973195955151749885e-03
1.009931870904422935e+00 3.437856368799961475e-03
1.011664256364154468e+00 3.142576561413778970e-03
1.012938069202192315e+00 3.255682211706095557e-03
1.015129027283617758e+00 2.942815340025227260e-03
1.015536647391790170e+00 2.704921091110984530e-03
1.012836164175149545e+00 2.880376730355537363e-03
1.015842362472919369e+00 3.155256769889568276e-03
1.011511398823589980e+00 3.082062748893484548e-03
1.017880463013780101e+00 3.128152374410980013e-03
1.008097580417648187e+00 3.218085889417337392e-03
1.016402840121656048e+00 3.164192113988499762e-03
1.016097125040526850e+00 2.963715483736955886e-03
1.016963317770392727e+00 2.744747159749481077e-03
1.014109977013187391e+00 3.101397087317254216e-03
1.018084273067866086e+00 3.055129026388212540e-03
1.019052370824774956e+00 3.141233822685943027e-03
1.013651404391493926e+00 3.061304864923921048e-03
1.018288083121952292e+00 2.861064168016621417e-03
1.011817113904718957e+00 3.181538756689190721e-03
1.019663800987033131e+00 2.974732368822956448e-03
1.015281884824182468e+00 3.112105949194774422e-03
1.011052826201896293e+00 3.109589780413085126e-03
1.020020468581683826e+00 2.578539530127636151e-03
1.014976169743053269e+00 2.981810571170100468e-03
1.018339035635473566e+00 2.982089171012105785e-03
1.015944267499962139e+00 2.771854200400965598e-03
1.020529993716899009e+00 3.545225948517821083e-03
1.014109977013187613e+00 3.222100949949145698e-03
1.020886661311549481e+00 2.759627832853662512e-03
1.022975714365931932e+00 2.842017750869151645e-03
1.013753309418536919e+00 3.242674164712088664e-03
1.023638097041711825e+00 2.919338924532566878e-03
1.013294736796843232e+00 2.930438479772491753e-03
1.029140968502036069e+00 2.721317413593953797e-03
1.023281429447061353e+00 3.188569051589545175e-03
1.027306678015261321e+00 3.046308421580727101e-03
1.023281429447061130e+00 2.796434371029193466e-03
1.024911909879749672e+00 3.055451922129005359e-03
1.018848560770688971e+00 3.316296314330968633e-03
1.022822856825367444e+00 2.782114553770254940e-03
1.024045717149884016e+00 3.140308031618186009e-03
1.027612393096390297e+00 3.173531810315732751e-03
1.022771904311845947e+00 2.791137578666448918e-03
1.028784300907385374e+00 3.098918300650360495e-03
1.024759052339185184e+00 2.996471357752491810e-03
1.026185722717787518e+00 3.367012877272838964e-03
1.021650949014372589e+00 3.056233528434731082e-03
1.025115719933835656e+00 2.894461566298969172e-03
1.026338580258352451e+00 3.057388580441410507e-03
1.029446683583165267e+00 3.116440836725250553e-03
1.026287627744830733e+00 2.861204813131208204e-03
1.030975258988810594e+00 3.317235599888421031e-03
1.031230021556418075e+00 2.814608729934466730e-03
1.030363828826552641e+00 3.046990130146194024e-03
1.032045261772762457e+00 3.073243418780325330e-03
1.035153365097575273e+00 3.012577864838103699e-03
1.032045261772762457e+00 3.046091094910040667e-03
1.032503834394456366e+00 3.370650301236787459e-03
1.031382879096982563e+00 3.056008412333411153e-03
1.029497636096686541e+00 2.639222161064339479e-03
1.032860501989106838e+00 2.682367962278525697e-03
1.029140968502036069e+00 3.175658069752399643e-03
1.038567183503517066e+00 3.125246257032227894e-03
1.033981457286580197e+00 3.108337196403733200e-03
1.029039063474992854e+00 2.921756810424307269e-03
1.026083817690744748e+00 3.003221715512181984e-03
1.034541934935317098e+00 2.963575323452948863e-03
1.029497636096686541e+00 3.387096840120757714e-03
1.035560985205747464e+00 2.964626364063644402e-03
1.028835253420906870e+00 2.906218994862778439e-03
1.034490982421795602e+00 3.197025601452884499e-03
1.031128116529375305e+00 2.981814924492821005e-03
1.033064312043193045e+00 3.026424897683561814e-03
1.041675286828330105e+00 3.111772246181603377e-03
1.033777647232494212e+00 2.906723671998756933e-03
1.039331471206339952e+00 3.314855559548779505e-03
1.036834798043785755e+00 2.741813412218452144e-03
1.030720496421203114e+00 3.532020004928380051e-03
1.033981457286580419e+00 3.236010139107279616e-03
1.041930049395937363e+00 2.909937258348341445e-03
1.035815747773354945e+00 3.638466153979930291e-03
1.036987655584349799e+00 3.152849148932462819e-03
1.037497180719565426e+00 2.669303904211790986e-03
1.038618136017038784e+00 3.224368295460918778e-03
1.038261468422388090e+00 3.371793891146236764e-03
1.039229566179296960e+00 3.131897282798331433e-03
1.037700990773651188e+00 2.980521708155253920e-03
1.037650038260129914e+00 2.959196355942606427e-03
1.042439574531152546e+00 2.954296860958066477e-03
1.047229110802175622e+00 3.424054401659567311e-03
